Initializing Leap
Done
Connected
[52.70535583496094, 151.60674197259758]
[52.78300170898437, 151.58763110329988]
[52.852490997314455, 151.61104772385033]
[52.933929443359375, 151.59331928484067]
[53.01718444824219, 151.53158257097076]
[53.130951690673825, 151.24298795400804]
[53.23262710571289, 150.97060547405928]
[53.55158309936523, 150.61013267834701]
[53.684880065917966, 150.2764506166352]
[53.803365325927736, 149.90167267272528]
[54.0922607421875, 149.26813164607157]
[54.392449951171876, 148.6497099261646]
[54.9153450012207, 147.64191824620488]
[55.2835693359375, 146.72169778763174]
[64.84831008911132, 136.10735705515148]
[71.15668182373047, 128.6882034050842]
[75.3894287109375, 123.66661007823147]
[78.477392578125, 120.10523879592226]
[85.76229858398438, 117.73033694226032]
[102.71574401855469, 82.38735096126227]
[102.79272766113282, 82.28756872767754]
[102.95564270019531, 82.00033195232183]
[103.27757568359375, 81.66529478107869]
[103.67663116455078, 81.41358728374755]
[104.15642852783203, 81.29002506354851]
[104.69813995361328, 81.26375752203849]
[105.33836212158204, 81.32232639417134]
[105.91915435791016, 81.36183494040635]
[106.43731689453125, 81.44579845587333]
[106.86202697753906, 81.56804108352472]
[107.2596664428711, 81.68771419401034]
[107.62211151123047, 81.80809901020748]
[107.96049652099609, 81.92267270145877]
[108.26274108886719, 82.03522465671576]
[108.53354949951172, 82.1286643766372]
[108.76034545898438, 82.2391891317485]
[108.93821868896484, 82.38041831925469]
[109.09461517333985, 82.52630296369917]
[109.2259536743164, 82.67352632522095]
[109.35180358886718, 82.81560382222204]
[109.4677719116211, 82.9657860216923]
[109.57292175292969, 83.12082175358675]
[109.678369140625, 83.27228529654528]
[109.79669799804688, 83.40680450621085]
[109.9072769165039, 83.51636757068702]
[109.99551086425781, 83.65053297655359]
[110.06401062011719, 83.85246478728934]
[110.14174041748046, 84.11144097193521]
[110.20311584472657, 84.361036574775]
[110.27692260742188, 84.64357417998175]
[110.3484100341797, 84.89101280908162]
[110.41890563964844, 85.1274958147528]
[110.48211517333985, 85.35269671395297]
[110.53781127929688, 85.57530077523069]
[110.5859375, 85.77965730312181]
[110.6310821533203, 86.0088046856244]
[110.67605895996094, 86.21178971153019]
[110.72205963134766, 86.38117703690865]
[110.7659408569336, 86.53452298000244]
[110.8096923828125, 86.66786193297943]
[110.8532485961914, 86.79011002478215]
[110.87965087890625, 86.92851424604763]
[110.90785522460938, 87.06576689741902]
[110.93110809326171, 87.24555660090344]
[110.95367584228515, 87.44948555895252]
[110.97167053222657, 87.59837958474529]
[110.98831176757812, 87.73177727734915]
[111.0002685546875, 87.86211367916698]
[111.01195983886718, 87.99970647395907]
[111.0217529296875, 88.13993025761943]
[111.03402709960938, 88.28220992821996]
[111.03987884521484, 88.4572840691014]
[111.04884338378906, 88.6047410230928]
[111.0589385986328, 88.79146473462262]
[111.06151275634765, 88.8524528597595]
[111.06896209716797, 88.9707804229786]
[111.06651306152344, 89.12176995080877]
[111.07169799804687, 89.2469714164086]
[111.07623748779297, 89.34915787658113]
[111.08495635986328, 89.43711432063691]
[111.09085693359376, 89.51514103567732]
[111.0997802734375, 89.60717510266755]
[111.10507202148438, 89.7023305661085]
[111.1087432861328, 89.77788202059368]
[111.11316528320313, 89.85783484898003]
[111.118798828125, 89.93045615231127]
[111.12189331054688, 90.00152836873875]
[111.12272033691406, 90.0808227668891]
[111.12365112304687, 90.15223102862375]
[111.12173614501953, 90.2378979932697]
[111.11953277587891, 90.34209252905825]
[111.12045135498047, 90.43877112468412]
[111.12237854003907, 90.53727474685621]
[111.12523956298828, 90.63246982539434]
[111.12763061523438, 90.75847725331626]
[111.12807922363281, 90.90101920318091]
[111.1255386352539, 91.05307014240805]
[111.12627410888672, 91.20512791182438]
[111.1287857055664, 91.34116342348568]
[111.1259994506836, 91.47179625551352]
[111.12348937988281, 91.6055887330514]
[111.12316284179687, 91.72430151893973]
[111.12467651367187, 91.83147128513073]
[111.12808380126953, 91.95501711287575]
[111.13197021484375, 92.07938939351035]
[111.13894195556641, 92.19053432979828]
[111.14789733886718, 92.31969320700324]
[111.15937042236328, 92.43340356234344]
[111.16811981201172, 92.5723979119532]
[111.17345123291015, 92.69579210949865]
[111.17926177978515, 92.8132194537852]
[111.18432312011718, 92.92467174858578]
[111.18901672363282, 93.04371238355426]
[111.19332885742188, 93.1442705266287]
[111.19764862060546, 93.23846293339668]
[111.20095672607422, 93.33240398920319]
[111.2032684326172, 93.40618232657984]
[111.20347442626954, 93.48058357720882]
[111.20432739257812, 93.54634600457551]
[111.20538635253907, 93.61448806984905]
[111.20587768554688, 93.69722624937893]
[111.20897521972657, 93.75783051788446]
[111.21049499511719, 93.81187780478676]
[111.20998687744141, 93.8757892508884]
[111.20902557373047, 93.93275029649064]
[111.2055908203125, 94.00089919195335]
[111.20018157958984, 94.07406008022903]
[111.19301300048828, 94.14279500592254]
[111.18704071044922, 94.20586907083194]
[111.18141632080078, 94.26533952793524]
[111.17741088867187, 94.31881990913644]
[111.17456512451172, 94.3730106300113]
[111.17129821777344, 94.43044978885546]
[111.16788177490234, 94.493489702819]
[111.16432495117188, 94.56002394156194]
[111.15913391113281, 94.61604242105871]
[111.15829162597656, 94.66113396392129]
[111.16101989746093, 94.71786824724309]
[111.16320495605468, 94.7787375270884]
[111.16433258056641, 94.83314544797891]
[111.16222229003907, 94.88445519506186]
[111.15781097412109, 94.9453121805667]
[111.15182495117188, 95.01543090258603]
[111.14740295410157, 95.08529827364394]
[111.14400329589844, 95.1486441800823]
[111.139794921875, 95.21704032839298]
[111.14020690917968, 95.29076539029408]
[111.14693298339844, 95.36589747116425]
[111.15371856689453, 95.44244749930607]
[111.15691528320312, 95.52845597341053]
[111.15933990478516, 95.61314348892952]
[111.16288757324219, 95.7015261367895]
[111.16290435791015, 95.78129864818173]
[111.15769500732422, 95.85322737033114]
[111.15398254394532, 95.9214582280639]
[111.14781036376954, 95.99243208976733]
[111.1423110961914, 96.06377068357244]
[111.13934783935547, 96.13817056816357]
[111.14212951660156, 96.19817924417347]
[111.13916931152343, 96.26239395067425]
[111.13917541503906, 96.33017948007313]
[111.14075469970703, 96.39580940176995]
[111.14237060546876, 96.45847775344264]
[111.13994445800782, 96.52525514692003]
[111.1373504638672, 96.59062005727705]
[111.13670806884765, 96.66171139823422]
[111.13603363037109, 96.73295300335312]
[111.1349090576172, 96.80434487263376]
[111.13428039550782, 96.88380729343768]
[111.1320556640625, 96.95780829498128]
[111.12679443359374, 97.03159756066059]
[111.11784057617187, 97.10968574740352]
[111.10972290039062, 97.18272779038762]
[111.10221099853516, 97.25980374309555]
[111.09813385009765, 97.32863702351311]
[111.09481048583984, 97.39032592605884]
[111.0923080444336, 97.44753149243336]
[111.09033508300782, 97.50561542113513]
[111.08744964599609, 97.56150822515119]
[111.08625183105468, 97.61261853071039]
[111.08613433837891, 97.67227886707262]
[111.08452606201172, 97.7468863894145]
[111.08021392822266, 97.82684331591435]
[111.07779083251953, 97.90566643101195]
[111.07066040039062, 97.99903238489034]
[111.06490020751953, 98.0923273048014]
[111.06268615722657, 98.17374042763228]
[111.05691986083984, 98.25148027472754]
[111.05158996582031, 98.33505993356314]
[111.04594421386719, 98.42411330599961]
[111.03786163330078, 98.51789590141739]
[111.03218841552734, 98.62770075459018]
[111.03277435302735, 98.73179147150333]
[111.0361572265625, 98.83781239987596]
[111.03399200439453, 98.92239746255737]
[111.02871246337891, 99.00223964187917]
[111.02120819091797, 99.07267391863817]
[111.01531372070312, 99.13153375682967]
[110.99494323730468, 99.25444984113324]
[110.98709564208984, 99.29992387458933]
[110.97925415039063, 99.35665405979763]
[110.97342681884766, 99.39890970811682]
[110.96787109375, 99.441486375327]
[110.95786895751954, 99.49029763921159]
[110.9444580078125, 99.54899901701435]
[110.97218017578125, 99.61438305190106]
[110.92973022460937, 99.69210240842881]
[110.95024108886719, 99.75091580133395]
[110.91821594238282, 99.82163421396243]
[110.94947509765625, 99.88104319936319]
[110.92507476806641, 99.95453057068119]
[110.9579864501953, 100.02060718674973]
[110.93166656494141, 100.10324974363121]
[110.96484680175782, 100.16746308409417]
[110.94326324462891, 100.24247358759709]
[110.96356811523438, 100.33274136766798]
[110.93862457275391, 100.40420427091598]
[110.96276092529297, 100.4853810692016]
[110.9356918334961, 100.569563150722]
[110.95931549072266, 100.65746358722654]
[110.9299545288086, 100.75469816025085]
[110.95325775146485, 100.8445383704797]
[110.9231460571289, 100.94311712473265]
[110.94084014892579, 101.04608769062193]
[110.9072052001953, 101.15655780421987]
[110.9137191772461, 101.28500770778898]
[110.8699722290039, 101.41961434387592]
[110.88052978515626, 101.5509889344476]
[110.84001312255859, 101.64968106984081]
[110.85016021728515, 101.74082174808761]
[110.80305786132813, 101.84168451759902]
[110.81717376708984, 101.91558443234291]
[110.77962646484374, 101.98810191679874]
[110.78810119628906, 102.0574884425391]
[110.74560852050782, 102.12812762497319]
[110.74497985839844, 102.20986859688423]
[110.68955078125, 102.29740839940061]
[110.68096466064453, 102.39025116078861]
[110.61392517089844, 102.48535334875403]
[110.59949340820313, 102.59231411115643]
[110.5414825439453, 102.69226573343258]
[110.53847961425781, 102.76772156526935]
[110.48095703125, 102.84845440125892]
[110.47451324462891, 102.93614583397486]
[110.41630859375, 103.03405522968917]
[110.39654083251953, 103.14037532034743]
[110.32462005615234, 103.24542909393354]
[110.28577880859375, 103.36240018158351]
[110.19347534179687, 103.4795242654709]
[110.14463348388672, 103.59547355682102]
[110.05885009765625, 103.70614584401842]
[110.03416290283204, 103.79327993329812]
[109.96560821533203, 103.86758419524085]
[109.9428207397461, 103.9456532574541]
[109.86857604980469, 104.02317044038242]
[109.8611083984375, 104.09000520744883]
[109.80379333496094, 104.15381146863724]
[109.79849395751953, 104.21216040867883]
[109.73035278320313, 104.28996036143876]
[109.71661376953125, 104.3555069548277]
[109.65408325195312, 104.41326440048718]
[109.64027252197266, 104.47137974805915]
[109.56994171142578, 104.53554391116009]
[109.54814758300782, 104.6030138858193]
[109.46829681396484, 104.67388392864734]
[109.42084655761718, 104.76578822204337]
[109.3166717529297, 104.85845886266426]
[109.2753890991211, 104.92714597703359]
[109.1905502319336, 104.99022414005648]
[109.09956359863281, 105.0662864926916]
[109.01148071289063, 105.1306828822243]
[108.92570037841797, 105.19305890180053]
[108.82314605712891, 105.26764456753706]
[108.71441345214843, 105.34317962956823]
[108.61532440185547, 105.40915106072353]
[108.51378784179687, 105.4762453749784]
[108.40890197753906, 105.56320051330185]
[108.311865234375, 105.63173463143376]
[108.22339172363282, 105.69348637171986]
[108.14369201660156, 105.74225528843158]
[108.07521514892578, 105.78346864988343]
[108.00773773193359, 105.82365475088412]
[107.92584381103515, 105.86984595420309]
[107.85122222900391, 105.91380368566345]
[107.77243347167969, 105.96219011178167]
[107.68535614013672, 106.02717936173431]
[107.59651947021484, 106.09455371374516]
[107.51595306396484, 106.1552713633909]
[107.42743682861328, 106.22964939137668]
[107.3354263305664, 106.31089995570532]
[107.25423889160156, 106.39537027120869]
[107.181689453125, 106.48254260954772]
[107.11384887695313, 106.55840552065906]
[107.03045806884765, 106.63493232615772]
[106.94679565429688, 106.71057940329129]
[106.85590972900391, 106.78065031398644]
[106.76944427490234, 106.84429401667262]
[106.67475891113281, 106.9199206032387]
[106.57684326171875, 106.993051438682]
[106.46560211181641, 107.08198050167557]
[106.34192352294922, 107.18230232020474]
[106.1960678100586, 107.31160053326873]
[106.04859313964843, 107.44875756199175]
[105.87813262939453, 107.60326053913096]
[105.71465454101562, 107.75179529697337]
[105.55586700439453, 107.89495606197684]
[105.40617523193359, 108.0336334908091]
[105.27674407958985, 108.14923717458723]
[105.14662017822266, 108.26547060180685]
[105.01574096679687, 108.37791190799926]
[104.84833984375, 108.50537963036572]
[104.67125396728515, 108.63506716421242]
[104.48054504394531, 108.75915667501536]
[104.29841613769531, 108.88449474439862]
[104.1310546875, 109.01366181783055]
[103.97799530029297, 109.12483680695087]
[103.8353286743164, 109.22422152352587]
[103.63167266845703, 109.39282064507415]
[103.53274993896484, 109.47169293753377]
[103.37799377441407, 109.61251914387894]
[103.21277618408203, 109.77540959331888]
[103.0555923461914, 109.93340143108612]
[102.81449279785156, 110.16548989304533]
[102.73446655273438, 110.23692001138531]
[102.58774261474609, 110.36587808102865]
[102.44002380371094, 110.49706552441712]
[102.28955841064453, 110.62370132974266]
[102.13874969482421, 110.75339569377851]
[101.9696762084961, 110.89826673815014]
[101.8097900390625, 111.04656243937163]
[101.65937042236328, 111.1808849395891]
[101.50545043945313, 111.3182373117224]
[101.34202728271484, 111.46577076383251]
[101.16515655517578, 111.61202150641648]
[100.97405395507812, 111.76987674040033]
[100.75909729003907, 111.94573908511197]
[100.54306182861328, 112.13164590601704]
[100.31639404296875, 112.31310354169678]
[100.10263366699219, 112.46997249636448]
[99.892236328125, 112.64214244081082]
[99.71448516845703, 112.77111280479467]
[99.53251647949219, 112.89303031544155]
[99.34996490478515, 113.01695590170443]
[99.15821990966796, 113.13915345010727]
[98.95144805908203, 113.28126236597856]
[98.75226440429688, 113.40688320519344]
[98.52236938476562, 113.57147437173676]
[98.29485626220703, 113.74200916889579]
[98.07095489501953, 113.91013700739131]
[97.85306549072266, 114.07867329119922]
[97.6258056640625, 114.24826142413932]
[97.39328155517578, 114.42869316540569]
[97.14964599609375, 114.63311526311284]
[96.88622131347657, 114.86681018556483]
[96.64866180419922, 115.05454476509178]
[96.38151702880859, 115.25209569249391]
[96.11838836669922, 115.44511274032497]
[95.84685363769532, 115.64486708675334]
[95.5417984008789, 115.87316615976098]
[95.27965240478515, 116.07295465713521]
[95.03031768798829, 116.2810350041618]
[94.78255462646484, 116.48224418088338]
[94.5451904296875, 116.66419222414552]
[94.24811096191407, 116.91255292878336]
[93.9110595703125, 117.2220274340388]
[93.56963500976562, 117.56328280950231]
[93.2454345703125, 117.90700251721837]
[92.93123016357421, 118.27059534334349]
[92.61624298095703, 118.62270252336035]
[92.31917114257813, 118.96405898562355]
[92.03132781982421, 119.25864367848835]
[91.74484558105469, 119.57988796572158]
[91.45120697021484, 119.91634171819858]
[91.12366180419922, 120.31077421446412]
[90.68465728759766, 120.79014557721014]
[90.3132553100586, 121.14717732361855]
[89.93034973144532, 121.52221891283045]
[89.62890014648437, 121.80150398195444]
[89.37561645507813, 122.01592547660648]
[89.14052124023438, 122.16992711786058]
[88.91889953613281, 122.32914155948924]
[88.74403381347656, 122.46795286002926]
[88.5830291748047, 122.6207223351571]
[88.43206634521485, 122.77774292002437]
[88.27430572509766, 122.94759606430424]
[88.09439544677734, 123.14591470496904]
[87.91143493652343, 123.35603044836833]
[87.72029266357421, 123.55421794940109]
[87.5328872680664, 123.74499879329787]
[87.3535171508789, 123.94028209789556]
[87.18601837158204, 124.15505603030877]
[87.019677734375, 124.37377781206226]
[86.85953369140626, 124.60296071154853]
[86.66438446044921, 124.87551804434005]
[86.46424255371093, 125.14107579927015]
[86.29608764648438, 125.3501424256129]
[86.14813079833985, 125.58113669126708]
[85.98045501708984, 125.73001842271933]
[85.78933410644531, 125.92173363649458]
[85.61531524658203, 126.14821451314522]
[85.45114288330078, 126.37738375225315]
[85.2855224609375, 126.60347940623458]
[85.07280731201172, 126.86179442856879]
[84.85714416503906, 127.14761872080415]
[84.687451171875, 127.39616384054958]
[84.57695770263672, 127.54793337598294]
[84.48369750976562, 127.67547486439241]
[84.40352172851563, 127.76929707490737]
[84.31303558349609, 127.87654197317924]
[84.21154479980468, 128.00524459374762]
[84.09443359375, 128.16668294497003]
[84.0113525390625, 128.26630808420387]
[83.89407653808594, 128.4075673245424]
[83.74517669677735, 128.57750516316798]
[83.56121215820312, 128.76598013520098]
[83.36432342529297, 128.94349948380528]
[83.19490966796874, 129.08050215025307]
[83.05463562011718, 129.19990478524755]
[82.93591613769532, 129.30099158496375]
[82.80729675292969, 129.40606448307955]
[82.66359100341796, 129.52600533698063]
[82.49706726074218, 129.65713950489356]
[82.31013336181641, 129.79987953024414]
[82.10399780273437, 129.96179053055712]
[81.89201049804687, 130.12308134969348]
[81.64220123291015, 130.336445531062]
[81.36367797851562, 130.58223398645842]
[81.04718627929688, 130.8782598492381]
[80.76307525634766, 131.16432183205657]
[80.43648071289063, 131.51637163848437]
[80.06963653564453, 131.93464695910464]
[79.69639129638672, 132.4248632962148]
[79.30775451660156, 132.91684455420645]
[78.98526306152344, 133.28527315426396]
[78.73037567138672, 133.56173189110942]
[78.49735870361329, 133.81216760721708]
[78.29799194335938, 133.99668926575848]
[78.08040924072266, 134.21088946228141]
[77.83521118164063, 134.47084373001644]
[77.58569793701172, 134.71858015536412]
[77.3782241821289, 134.91968824528598]
[77.21201934814454, 135.09037740472027]
[77.02149200439453, 135.24797718962913]
[76.87251892089844, 135.38138717657353]
[76.73766326904297, 135.48893533524452]
[76.60987243652343, 135.59272688987204]
[76.45687866210938, 135.6923984743922]
[76.30257110595703, 135.78882435301878]
[76.25389099121094, 135.8155413209762]
[76.17411804199219, 135.85529848609698]
[76.07290191650391, 135.8934437265737]
[75.98334045410157, 135.91436049788794]
[75.85901794433593, 135.921280845555]
[75.68760681152344, 135.91462277715206]
[75.51681365966797, 135.89811557596596]
[75.31436920166016, 135.86020529399673]
[75.09644165039063, 135.82549427263476]
[74.87841796875, 135.7922203230741]
[74.66453399658204, 135.76599512873693]
[74.45452575683593, 135.7833246846991]
[74.27659301757812, 135.8166013663354]
[74.13294830322266, 135.78936803607672]
[73.99251098632813, 135.772989242447]
[73.84893951416015, 135.75074468235812]
[73.72798919677734, 135.69696104075777]
[73.616259765625, 135.64994748266275]
[73.45451202392579, 135.5989970035301]
[73.38177947998047, 135.5727171676796]
[73.27489013671875, 135.53958528605366]
[73.17193298339843, 135.5009837889404]
[73.04726104736328, 135.4927793657094]
[72.89070281982421, 135.51243391806506]
[72.73807373046876, 135.514392816319]
[72.58356018066407, 135.5317251043568]
[72.43489990234374, 135.55130042651805]
[72.26473846435547, 135.57813214165355]
[72.09083709716796, 135.6025596302012]
[71.89322509765626, 135.64753232777224]
[71.62296600341797, 135.74703998775232]
[71.31946258544922, 135.87728349899746]
[71.00152740478515, 136.01410584845112]
[70.71488037109376, 136.1600342061063]
